lat,lon,heading
-33.24781389,-156.0949583,275
-32.30831667,-154.6377139,270
-33.62866667,-153.293875,320
-33.77961667,-155.5129556,334
-33.85160833,-156.3959222,115
-34.23348889,-155.7746583,265
-34.25365278,-156.3381361,22
-33.31212222,-156.9911472,263
-33.31585556,-157.3135389,135
-33.23712778,-157.2248528,54
-33.21457222,-157.1771472,53
-33.18921389,-157.014125,54
-33.23358333,-156.4257472,294
-33.15899167,-156.644325,300
-33.09907778,-156.494475,273
-32.65868889,-156.5492972,322
-32.91384167,-157.7200611,46
-32.73228889,-158.3458889,338
-32.56905556,-158.1829611,330
-32.30652778,-158.4700611,330
-32.35962778,-158.3337333,321
-35.88216667,-152.9692806,145
-35.79030833,-152.0980361,234
-34.19986111,-152.6541611,152
-34.79206389,-152.992225,247
-36.83679444,-154.850875,115
-35.98410556,-155.7765694,225
-35.74071111,-155.3626472,248
-34.50805,-154.9871056,319
-34.28663611,-154.7492722,236