lat,lon
-32.0572333333333,-154.7564
-35.7884472222222,-155.439636111111
-33.43905,-157.456936111111
-33.4951055555556,-157.466216666667
-32.7034527777778,-156.451686111111
-33.0927388888889,-157.375813888889
-32.9338888888889,-157.654666666667
-32.8920444444444,-158.177388888889
-32.8227194444444,-158.225327777778
-32.8036722222222,-158.249630555556
-32.7054638888889,-158.249763888889
-32.6361527777778,-158.006938888889
-32.6401611111111,-157.985469444444
-32.5847722222222,-158.005116666667
-32.7186722222222,-158.156016666667
-32.7471083333333,-158.170938888889
-32.4582916666667,-158.334366666667
-32.4600777777778,-158.267611111111
-35.8482277777778,-152.917411111111
-34.2092916666667,-152.561255555556
-33.3657166666667,-152.570630555556
-32.99875,-155.589291666667
-33.0319611111111,-155.327713888889